Rk,Date,Tm,Opp,GS,MP,FG,FGA,FG_percent,ThreeP,ThreePA,ThreeP_percent,FT,FTA,FT_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus.Minus,TS_percent,eFG_percent,ORB_percent,DRB_percent,TRB_percent,AST_percent,STL_percent,BLK_percent,TOV_percent,USG_percent,ORtg,DRtg,Season,WL,Year,TmPTS,All_star
45,1/26/20,HOU,DEN,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regular,L,2020,121,1
46,1/27/20,HOU,UTA,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regular,W,2020,91,1
47,1/29/20,HOU,POR,1,38.27,5,18,0.278,2,8,0.25,6,6,1,1,4,5,4,2,2,6,3,18,8.3,-13,0.436,0.333,2.6,12.5,7,14.9,2.4,4.7,22.5,28.6,79,115,regular,L,2020,91,1
48,1/31/20,HOU,DAL,1,37.42,10,25,0.4,6,14,0.429,9,10,0.9,2,14,16,6,4,0,3,4,35,30.3,9,0.595,0.52,5.7,40.8,23.1,23.9,5,0,9.3,36.8,120,104,regular,W,2020,104,1
49,2/2/20,HOU,NOP,1,38.78,12,24,0.5,7,15,0.467,9,9,1,2,8,10,9,0,2,4,5,40,33.5,3,0.715,0.646,4.3,20.6,11.7,42.6,0,4.1,12.5,32.5,135,105,regular,W,2020,111,1
50,2/4/20,HOU,CHO,1,39.8,11,26,0.423,4,11,0.364,14,15,0.933,3,6,9,12,3,1,3,4,40,37.2,20,0.613,0.5,7.5,15.7,11.5,48.7,3.6,2.4,8.4,38.6,132,107,regular,W,2020,126,1
51,2/6/20,HOU,LAL,1,35.17,3,10,0.3,1,6,0.167,7,7,1,0,7,7,7,2,0,3,5,14,12.2,-3,0.535,0.35,0,25.8,12.7,24.6,2.7,0,18.7,20.2,112,106,regular,W,2020,105,1
52,2/7/20,HOU,PHO,1,30.25,9,19,0.474,5,10,0.5,9,10,0.9,0,2,2,5,1,1,5,4,32,21.1,-20,0.684,0.605,0,10.2,4,53.9,1.6,3.4,17.6,40.4,115,128,regular,L,2020,102,1
53,2/9/20,HOU,UTA,1,38.82,11,23,0.478,2,13,0.154,4,6,0.667,1,9,10,10,1,2,1,5,28,25.3,8,0.546,0.522,2.7,28.5,14.7,40.7,1.3,5.2,3.8,30.7,123,114,regular,L,2020,136,1
54,2/11/20,HOU,BOS,1,38.63,9,19,0.474,7,16,0.438,17,18,0.944,0,8,8,7,1,1,6,5,42,32.9,24,0.78,0.658,0,19.9,10.7,39.9,1.2,2.3,18.2,37.4,133,102,regular,W,2020,99,1
55,2/20/20,HOU,GSW,1,30.17,6,16,0.375,3,12,0.25,14,15,0.933,0,3,3,10,3,2,1,3,29,29.9,32,0.642,0.469,0,11.6,6.3,44.9,4.8,5.7,4.2,34.2,152,100,regular,W,2020,108,0
56,2/22/20,HOU,UTA,1,37.13,13,23,0.565,6,11,0.545,6,9,0.667,1,4,5,7,2,1,3,3,38,31.2,24,0.705,0.696,2.8,12.3,7.3,32.1,2.5,2.2,10,35.8,135,105,regular,W,2020,113,0
57,2/24/20,HOU,NYK,1,33.87,14,25,0.56,4,11,0.364,5,9,0.556,2,4,6,9,2,0,6,3,37,27.2,3,0.639,0.64,6.6,11.6,9.2,55.1,2.7,0,17.2,44,117,109,regular,W,2020,127,0
58,2/26/20,HOU,MEM,1,28.02,9,16,0.563,7,12,0.583,5,6,0.833,2,5,7,3,1,0,5,4,30,21.4,7,0.805,0.781,9.5,15,12.9,14.1,1.6,0,21.2,34.4,134,107,regular,W,2020,108,0
59,2/29/20,HOU,BOS,1,40.95,7,24,0.292,4,17,0.235,3,3,1,0,4,4,8,3,0,5,3,21,10.6,9,0.415,0.375,0,9.4,4.8,32.4,3.6,0,16.5,32.2,86,103,regular,W,2020,113,0
60,3/2/20,HOU,NYK,1,39.13,8,22,0.364,3,13,0.231,16,16,1,1,1,2,8,4,0,3,4,35,28.8,9,0.603,0.432,2.3,2.7,2.5,33.6,4.7,0,9.4,33.3,124,118,regular,L,2020,135,0
61,3/5/20,HOU,LAC,1,27.95,4,17,0.235,0,8,0,8,11,0.727,0,7,7,4,1,0,4,3,16,5.2,-19,0.366,0.235,0,26.7,11.1,24.4,1.6,0,15.5,36.1,73,112,regular,L,2020,101,0
62,3/7/20,HOU,CHO,1,45.3,8,22,0.364,2,11,0.182,12,14,0.857,1,9,10,14,2,0,10,5,30,20.2,-9,0.533,0.409,2.9,27.2,14.7,55.9,2.4,0,26.2,38.6,107,119,regular,L,2020,125,0
63,3/8/20,HOU,ORL,1,32.25,6,19,0.316,3,10,0.3,8,10,0.8,2,5,7,6,3,0,4,3,23,16.2,-15,0.491,0.395,6.3,18.6,12,29.7,4.4,0,14.6,34.9,100,118,regular,L,2020,109,0
64,3/10/20,HOU,MIN,1,35.83,11,19,0.579,5,10,0.5,10,14,0.714,0,4,4,7,2,1,3,1,37,31.9,-5,0.735,0.711,0,14.9,7.2,35.7,2.7,2.8,10.7,35.1,137,109,regular,W,2020,141,0
65,7/31/20,HOU,DAL,1,43.48,14,20,0.7,3,9,0.333,18,21,0.857,0,9,9,8,3,3,1,5,49,49.8,8,0.838,0.775,0,22.4,11.2,27.9,3,6.5,3.3,29,172,117,regular,W,2020,109,0
66,8/2/20,HOU,MIL,1,34.22,5,14,0.357,3,12,0.25,11,13,0.846,1,6,7,7,6,0,3,5,24,23.8,-7,0.609,0.464,2.6,17.9,9.7,33.9,8,0,13.2,28,121,97,regular,W,2020,112,0
67,8/4/20,HOU,POR,1,33.43,7,17,0.412,3,8,0.375,6,7,0.857,3,3,6,9,0,0,4,5,23,16.8,-8,0.573,0.5,8,8.8,8.4,54,0,0,16.6,32.1,114,115,regular,L,2020,142,0
68,8/6/20,HOU,LAL,1,35.63,11,19,0.579,5,10,0.5,12,12,1,1,7,8,12,3,1,10,2,39,34.2,16,0.803,0.711,3.4,22.5,13.1,76.3,3.9,2.3,29.2,40.8,124,87,regular,W,2020,138,0
69,8/9/20,HOU,SAC,1,32.85,10,21,0.476,3,12,0.25,9,9,1,0,8,8,7,3,1,4,1,32,27.9,24,0.641,0.548,0,26,13.1,36,4.1,2.9,13.8,35.5,123,96,regular,W,2020,93,0
70,8/11/20,HOU,SAS,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regular,L,2020,114,0
71,8/12/20,HOU,IND,1,35.47,13,21,0.619,7,14,0.5,12,14,0.857,1,16,17,9,3,0,6,2,45,42.7,11,0.828,0.786,2.8,39.4,22.3,84.6,3.7,0,18.1,37.9,139,88,regular,L,2020,121,0
72,8/14/20,HOU,PHI,1,26.28,9,16,0.563,4,9,0.444,5,5,1,0,3,3,10,1,2,7,1,27,22.3,-11,0.742,0.688,0,16.1,7,98.4,1.8,7.5,27.8,44.2,112,129,regular,L,2020,103,1
1,4/18/10,OKC,LAL,0,16.33,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,-4.7,-11,0,0,0,0,0,0,0,0,25,12.4,0,114,playoffs,L,2010,116,1
2,4/20/10,OKC,LAL,0,9.6,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-0.4,-6,0,0,0,10.2,5.8,17.2,0,0,0,9.5,25,109,playoffs,L,2010,122,1
3,4/22/10,OKC,LAL,0,31.93,4,7,0.571,3,4,0.75,7,8,0.875,0,5,5,3,2,0,0,2,18,19.1,12,0.856,0.786,0,16.3,8.2,16.7,3.4,0,0,15.2,187,104,playoffs,W,2010,125,0
4,4/24/10,OKC,LAL,0,24.03,3,6,0.5,2,4,0.5,7,8,0.875,0,5,5,4,2,1,1,6,15,15.2,13,0.788,0.667,0,21.2,10.7,31.9,4.4,3.3,9.5,20,157,88,playoffs,W,2010,118,1
5,4/27/10,OKC,LAL,0,25.2,4,10,0.4,1,3,0.333,2,3,0.667,1,1,2,1,0,0,1,1,11,5.5,-3,0.486,0.45,3.9,5,4.4,8.1,0,0,8.1,21.2,100,124,playoffs,L,2010,127,1
6,4/30/10,OKC,LAL,0,12.95,1,3,0.333,0,1,0,0,0,0,0,2,2,2,2,0,0,1,2,3.9,-1,0.333,0.333,0,19,8.7,27.2,8.5,0,0,10.6,95,93,playoffs,L,2010,112,1
7,4/17/11,OKC,DEN,0,25.8,1,5,0.2,0,4,0,3,4,0.75,0,3,3,4,1,2,0,2,5,6.8,7,0.37,0.2,0,15.9,7.9,20.6,2,6.1,0,12.5,106,105,playoffs,W,2011,120,1
8,4/20/11,OKC,DEN,0,28.2,5,9,0.556,2,5,0.4,6,6,1,1,4,5,1,0,0,1,4,18,13.7,4,0.773,0.667,4,16.2,10,6.2,0,0,7.9,19.7,159,104,playoffs,W,2011,111,1
9,4/23/11,OKC,DEN,0,31.73,3,8,0.375,2,4,0.5,2,4,0.5,0,5,5,2,2,0,1,4,10,7.1,11,0.512,0.5,0,15.8,8.2,12.4,3.2,0,9.3,15.1,101,96,playoffs,W,2011,106,1
10,4/25/11,OKC,DEN,0,31.38,2,5,0.4,1,3,0.333,2,2,1,1,7,8,5,1,2,3,4,7,8.4,1,0.595,0.5,3.6,21,13,23.9,1.6,4.8,33.8,12.6,102,105,playoffs,L,2011,118,1
11,4/27/11,OKC,DEN,0,32.42,2,7,0.286,2,6,0.333,6,8,0.75,0,7,7,3,2,1,2,2,12,11.2,4,0.57,0.429,0,26.6,11.6,16.4,3,2.5,16,16.2,111,99,playoffs,W,2011,119,1
12,5/1/11,OKC,MEM,0,23.87,2,5,0.4,1,3,0.333,0,0,0,0,2,2,2,1,0,2,5,5,1.3,-9,0.5,0.5,0,9.4,4.6,13,2.2,0,28.6,12.8,85,127,playoffs,L,2011,118,1
